"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"LOMBARDIA","LOMBARDIA - U09","ITALEXIT PER L'ITALIA","GIAN LUCA BERETTA"
"LOMBARDIA","LOMBARDIA - U09","AZIONE - ITALIA VIVA - CALENDA","MARIASTELLA GELMINI"
"LOMBARDIA","LOMBARDIA - U09","UNIONE POPOLARE CON DE MAGISTRIS","LAURA ALGHISI"
"LOMBARDIA","LOMBARDIA - U09","VITA","FLAMINIO MAFFETTINI"
"LOMBARDIA","LOMBARDIA - U11","+EUROPA","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","ALLEANZA VERDI E SINISTRA","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","MASTELLA NOI DI CENTRO EUROPEISTI","GIANCARLO NOLLI"
"LOMBARDIA","LOMBARDIA - U11","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","LEGA PER SALVINI PREMIER","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","FRATELLI D'ITALIA CON GIORGIA MELONI","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","FORZA ITALIA","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","ITALIA SOVRANA E POPOLARE","MONICA PERUGINI"
